GennySim/GSim_State_Name,Source,Stepping,Weight,Type,RefGC,Comment
PS2_RCPBPIX_NOMSAA_2PPC_WRT,Gen10LP,A0,44.59,syn,1,
PS2_RCPBPIX_NOMSAA_4PPC_BLD,Gen10LP,A0,84.38,syn,1,
PS2_RCPBPIX_NOMSAA_4PPC_WRT,Gen10LP,A0,51.07,syn,1,
PS2_RCPBPIX_NOMSAA_8PPC_BLD,Gen10LP,A0,165.25,syn,1,
PS2_RCPBPIX_NOMSAA_8PPC_WRT,Gen10LP,A0,98.63,syn,1,
PS0_RCPBCOM_DOP,Gen10LP,A0,0,syn,1,
PS0_RCPBCOM,Gen10LP,A0,2.75,syn,1,
PS1_RCPBCOM,Gen10LP,A0,5.15,syn,1,
PS2_RCPBCOM_MSAA_2PPC_BLD,Gen10LP,A0,47.59,syn,1,
PS2_RCPBCOM_MSAA_2PPC_WRT,Gen10LP,A0,37.47,syn,1,
PS2_RCPBCOM_MSAA_4PPC_BLD,Gen10LP,A0,46.54,syn,1,
PS2_RCPBCOM_MSAA_4PPC_WRT,Gen10LP,A0,33.77,syn,1,
PS2_RCPBCOM_MSAA_8PPC_BLD,Gen10LP,A0,69.06,syn,1,
PS2_RCPBCOM_MSAA_8PPC_WRT,Gen10LP,A0,57.72,syn,1,
PS2_RCPBCOM_MSAA_RTR,Gen10LP,A0,1.6,syn,1,
PS2_RCPBCOM_NOMSAA_2PPC_BLD,Gen10LP,A0,47.59,syn,1,
PS2_RCPBCOM_NOMSAA_2PPC_WRT,Gen10LP,A0,37.47,syn,1,
PS2_RCPBCOM_NOMSAA_4PPC_BLD,Gen10LP,A0,46.54,syn,1,
PS2_RCPBCOM_NOMSAA_4PPC_WRT,Gen10LP,A0,33.77,syn,1,
PS2_RCPBCOM_NOMSAA_8PPC_BLD,Gen10LP,A0,69.06,syn,1,
