Cluster,Source,Destination,Gate Count Scaling
GTI,Gen9LPSoC,Gen12HP,False
GTI,Gen10LP,Gen12HP,False
GTI,Gen12LP,Gen12HP,False
GTI,Gen11LP,Gen12HP,False
SQIDI,Gen9LPClient,Gen12HP,False
SQIDI,Gen9LPSoC,Gen12HP,False
SQIDI,Gen10LP,Gen12HP,False
SQIDI,Gen12LP,Gen12HP,False
SQIDI,Gen11LP,Gen12HP,False
UNCORE,Gen9LPClient,Gen12HP,False
UNCORE,Gen9LPSoC,Gen12HP,False
UNCORE,Gen10LP,Gen12HP,False
UNCORE,Gen11LP,Gen12HP,False
UNCORE,Gen12LP,Gen12HP,False
COLOR,Gen9LPClient,Gen12HP,False
COLOR,Gen9LPSoC,Gen12HP,False
COLOR,Gen10LP,Gen12HP,False
COLOR,Gen11LP,Gen12HP,False
COLOR,Gen12LP,Gen12HP,False
Z,Gen9LPClient,Gen12HP,False
Z,Gen9LPSoC,Gen12HP,False
Z,Gen10LP,Gen12HP,False
Z,Gen11LP,Gen12HP,False
Z,Gen12LP,Gen12HP,False
DSSC,Gen9LPClient,Gen12HP,False
DSSC,Gen9LPSoC,Gen12HP,False
DSSC,Gen10LP,Gen12HP,False
DSSC,Gen11LP,Gen12HP,False
DSSC,Gen12LP,Gen12HP,False
FF,Gen9LPClient,Gen12HP,False
FF,Gen9LPSoC,Gen12HP,False
FF,Gen10LP,Gen12HP,False
FF,Gen11LP,Gen12HP,False
FF,Gen12LP,Gen12HP,False
HDC,Gen9LPClient,Gen12HP,False
HDC,Gen9LPSoC,Gen12HP,False
HDC,Gen10LP,Gen12HP,False
HDC,Gen11LP,Gen12HP,False
HDC,Gen12LP,Gen12HP,False
rFF,Gen9LPClient,Gen12HP,False
rFF,Gen9LPSoC,Gen12HP,False
rFF,Gen10LP,Gen12HP,False
rFF,Gen11LP,Gen12HP,False
rFF,Gen12LP,Gen12HP,False
ROSS,Gen9LPClient,Gen12HP,False
ROSS,Gen9LPSoC,Gen12HP,False
ROSS,Gen10LP,Gen12HP,False
ROSS,Gen11LP,Gen12HP,False
ROSS,Gen12LP,Gen12HP,False
ROSC,Gen9LPClient,Gen12HP,False
ROSC,Gen9LPSoC,Gen12HP,False
ROSC,Gen10LP,Gen12HP,False
ROSC,Gen11LP,Gen12HP,False
ROSC,Gen12LP,Gen12HP,False
Other,Gen9LPClient,Gen12HP,False
Other,Gen9LPSoC,Gen12HP,False
Other,Gen10LP,Gen12HP,False
Other,Gen11LP,Gen12HP,False
Other,Gen12LP,Gen12HP,False
Other,Gen12HP,Gen12HP,False
EU,Gen9LPClient,PVC_Scaled,False
EU,Gen9LPSoC,PVC_Scaled,False
EU,Gen10LP,PVC_Scaled,False
EU,Gen11LP,PVC_Scaled,False
EU,Gen12LP,PVC_Scaled,False
EU,Gen12HP,PVC_Scaled,False
L3_Bank,Gen9LPClient,PVC_Scaled,False
L3_Bank,Gen9LPSoC,PVC_Scaled,False
L3_Bank,Gen10LP,PVC_Scaled,False
L3_Bank,Gen11LP,PVC_Scaled,False
L3_Bank,Gen12LP,PVC_Scaled,False
L3_Bank,Gen12DG,PVC_Scaled,False
L3_Bank,Gen12HP,PVC_Scaled,False
GAM,Gen9LPClient,PVC_Scaled,False
GAM,Gen9LPSoC,PVC_Scaled,False
GAM,Gen10LP,PVC_Scaled,False
GAM,Gen11LP,PVC_Scaled,False
GAM,Gen12LP,PVC_Scaled,False
Sampler,Gen9LPClient,PVC_Scaled,False
Sampler,Gen9LPSoC,PVC_Scaled,False
Sampler,Gen10LP,PVC_Scaled,False
Sampler,Gen12LP,PVC_Scaled,False
Sampler,Gen11LP,PVC_Scaled,False
L3Node,Gen9LPClient,PVC_Scaled,False
L3Node,Gen9LPSoC,PVC_Scaled,False
L3Node,Gen10LP,PVC_Scaled,False
L3Node,Gen11LP,PVC_Scaled,False
L3Node,Gen12LP,PVC_Scaled,False
L3Node,Gen12DG,PVC_Scaled,False
L3Node,Gen12HP,PVC_Scaled,False
Fabric,Gen9LPClient,PVC_Scaled,False
Fabric,Gen9LPSoC,PVC_Scaled,False
Fabric,Gen10LP,PVC_Scaled,False
Fabric,Gen11LP,PVC_Scaled,False
Fabric,Gen12LP,PVC_Scaled,False
Fabric,Gen12DG,PVC_Scaled,False
Fabric,Gen12HP,PVC_Scaled,False
GTI,Gen9LPClient,PVC_Scaled,False
GTI,Gen9LPSoC,PVC_Scaled,False
GTI,Gen10LP,PVC_Scaled,False
GTI,Gen12LP,PVC_Scaled,False
GTI,Gen11LP,PVC_Scaled,False
UNCORE,Gen9LPClient,PVC_Scaled,False
UNCORE,Gen9LPSoC,PVC_Scaled,False
UNCORE,Gen10LP,PVC_Scaled,False
UNCORE,Gen11LP,PVC_Scaled,False
UNCORE,Gen12LP,PVC_Scaled,False
COLOR,Gen9LPClient,PVC_Scaled,False
COLOR,Gen9LPSoC,PVC_Scaled,False
COLOR,Gen10LP,PVC_Scaled,False
COLOR,Gen11LP,PVC_Scaled,False
COLOR,Gen12LP,PVC_Scaled,False
