Cluster,Source,Destination,Gate Count Scaling
Z,Gen12HP,PVC,False
Z,DG2,PVC,False
Z,ADL,PVC,False
DSSC,Gen9LPClient,PVC,False
DSSC,Gen9LPSoC,PVC,False
DSSC,Gen10LP,PVC,False
DSSC,Gen11LP,PVC,False
DSSC,Gen12LP,PVC,False
DSSC,Gen12HP,PVC,False
DSSC,DG2,PVC,False
DSSC,ADL,PVC,False
DSSC,PVC,PVC,False
DSSC,PVC,PVC2,False
DSSC,PVC2,PVC2,False
DSSC,PVC,PVC_A21,False
FF,Gen9LPClient,PVC,False
FF,Gen9LPSoC,PVC,False
FF,Gen10LP,PVC,False
FF,Gen11LP,PVC,False
FF,Gen12LP,PVC,False
HDC,Gen9LPClient,PVC,False
HDC,Gen9LPSoC,PVC,False
HDC,Gen10LP,PVC,False
HDC,Gen11LP,PVC,False
HDC,Gen12LP,PVC,False
rFF,Gen9LPClient,PVC,False
rFF,Gen9LPSoC,PVC,False
rFF,Gen10LP,PVC,False
rFF,Gen11LP,PVC,False
rFF,Gen12LP,PVC,False
ROSS,Gen9LPClient,PVC,False
ROSS,Gen9LPSoC,PVC,False
ROSS,Gen10LP,PVC,False
ROSS,Gen11LP,PVC,False
ROSS,Gen12LP,PVC,False
ROSC,Gen9LPClient,PVC,False
ROSC,Gen9LPSoC,PVC,False
ROSC,Gen10LP,PVC,False
ROSC,Gen11LP,PVC,False
ROSC,Gen12LP,PVC,False
Other,Gen9LPClient,PVC,False
Other,Gen9LPSoC,PVC,False
Other,Gen10LP,PVC,False
Other,Gen11LP,PVC,False
Other,Gen12LP,PVC,False
Other,Gen12HP,PVC,False
Other,DG2,PVC,False
Other,ADL,PVC,False
Other,PVC,PVC,False
Other,PVC,PVC2,False
Other,PVC2,PVC2,False
Other,PVC,PVC_A21,False
EU,Gen9LPSoC,ADL,False
EU,Gen10LP,ADL,False
EU,Gen11LP,ADL,False
EU,Gen12LP,ADL,False
EU,Gen12HP,ADL,False
EU,ADL,ADL,False
EU,DG2,ADL,False
L3_Bank,Gen9LPClient,ADL,False
L3_Bank,Gen9LPSoC,ADL,False
L3_Bank,Gen10LP,ADL,False
L3_Bank,Gen11LP,ADL,False
L3_Bank,Gen12LP,ADL,False
L3_Bank,Gen12DG,ADL,False
L3_Bank,Gen12HP,ADL,False
L3_Bank,ADL,ADL,False
L3_Bank,DG2,ADL,False
L3_Bank,Gen12HP,DG2,False
L3_Bank,DG2,DG2,False
L3_Bank,Gen12HP,MTL,False
L3_Bank,DG2,MTL,False
GAM,Gen9LPClient,ADL,False
GAM,Gen9LPSoC,ADL,False
GAM,Gen10LP,ADL,False
GAM,Gen11LP,ADL,False
GAM,Gen12LP,ADL,False
GAM,Gen12HP,ADL,False
GAM,ADL,ADL,False
GAM,DG2,ADL,False
GAM,Gen12HP,DG2,False
GAM,DG2,DG2,False
GAM,Gen12HP,MTL,False
GAM,DG2,MTL,False
Sampler,Gen9LPClient,ADL,False
Sampler,Gen9LPSoC,ADL,False
Sampler,Gen10LP,ADL,False
Sampler,Gen12LP,ADL,False
Sampler,Gen12HP,ADL,False
Sampler,ADL,ADL,False
Sampler,DG2,ADL,False
Sampler,Gen11LP,ADL,False
Sampler,Gen12HP,DG2,False
Sampler,DG2,DG2,False
Sampler,Gen12HP,MTL,False
Sampler,DG2,MTL,False
Sampler,DG2,PVC,False
Sampler,ADL,PVC,False
L3Node,Gen9LPClient,ADL,False
L3Node,Gen9LPSoC,ADL,False
L3Node,Gen10LP,ADL,False
L3Node,Gen11LP,ADL,False
L3Node,Gen12DG,ADL,False
L3Node,Gen12LP,ADL,False
L3Node,Gen12HP,ADL,False
Fabric,Gen9LPClient,ADL,False
Fabric,Gen9LPSoC,ADL,False
Fabric,Gen10LP,ADL,False
Fabric,Gen11LP,ADL,False
Fabric,Gen12LP,ADL,False
Fabric,Gen12DG,ADL,False
Fabric,Gen12HP,ADL,False
GTI,Gen9LPClient,ADL,False
GTI,Gen9LPSoC,ADL,False
GTI,Gen10LP,ADL,False
GTI,Gen12LP,ADL,False
GTI,Gen11LP,ADL,False
SQIDI,Gen9LPClient,ADL,False
SQIDI,Gen9LPSoC,ADL,False
SQIDI,Gen10LP,ADL,False
SQIDI,Gen12LP,ADL,False
SQIDI,Gen11LP,ADL,False
UNCORE,Gen9LPClient,ADL,False
UNCORE,Gen9LPSoC,ADL,False
UNCORE,Gen10LP,ADL,False
UNCORE,Gen11LP,ADL,False
UNCORE,Gen12LP,ADL,False
COLOR,Gen9LPClient,ADL,False
COLOR,Gen9LPSoC,ADL,False
COLOR,Gen10LP,ADL,False
COLOR,Gen11LP,ADL,False
COLOR,Gen12LP,ADL,False
Z,Gen9LPClient,ADL,False
Z,Gen9LPSoC,ADL,False
Z,Gen10LP,ADL,False
Z,Gen11LP,ADL,False
Z,Gen12LP,ADL,False
DSSC,Gen9LPClient,ADL,False
DSSC,Gen9LPSoC,ADL,False
DSSC,Gen10LP,ADL,False
DSSC,Gen11LP,ADL,False
DSSC,Gen12LP,ADL,False
DSSC,Gen12HP,ADL,False
DSSC,DG2,ADL,False
DSSC,ADL,ADL,False
DSSC,Gen12HP,DG2,False
DSSC,DG2,DG2,False
DSSC,Gen12HP,MTL,False
DSSC,DG2,MTL,False
FF,Gen9LPClient,ADL,False
FF,Gen9LPSoC,ADL,False
FF,Gen10LP,ADL,False
FF,Gen11LP,ADL,False
FF,Gen12LP,ADL,False
HDC,Gen9LPClient,ADL,False
HDC,Gen9LPSoC,ADL,False
HDC,Gen10LP,ADL,False
HDC,Gen11LP,ADL,False
HDC,Gen12LP,ADL,False
HDC,Gen12HP,ADL,False
HDC,DG2,ADL,False
HDC,Gen12HP,DG2,False
HDC,DG2,DG2,False
HDC,Gen12HP,MTL,False
HDC,DG2,MTL,False
rFF,Gen9LPClient,ADL,False
rFF,Gen9LPSoC,ADL,False
rFF,Gen10LP,ADL,False
rFF,Gen11LP,ADL,False
rFF,Gen12LP,ADL,False
ROSS,Gen9LPClient,ADL,False
ROSS,Gen9LPSoC,ADL,False
ROSS,Gen10LP,ADL,False
ROSS,Gen11LP,ADL,False
ROSS,Gen12LP,ADL,False
ROSS,Gen12HP,ADL,False
ROSS,DG2,ADL,False
ROSS,Gen12HP,DG2,False
ROSS,DG2,DG2,False
ROSS,Gen12HP,MTL,False
ROSS,DG2,MTL,False
ROSS,Gen12HP,PVC,False
ROSS,Gen12HP,PVC,False
ROSS,DG2,PVC,False
ROSS,ADL,PVC,False
ROSC,Gen9LPClient,ADL,False
ROSC,Gen9LPSoC,ADL,False
ROSC,Gen10LP,ADL,False
ROSC,Gen11LP,ADL,False
ROSC,Gen12LP,ADL,False
Other,Gen9LPClient,ADL,False
Other,Gen9LPSoC,ADL,False
Other,Gen10LP,ADL,False
Other,Gen11LP,ADL,False
Other,Gen12LP,ADL,False
Other,Gen12HP,ADL,False
Other,ADL,ADL,False
Other,DG2,ADL,False
Other,Gen12HP,DG2,False
Other,DG2,DG2,False
Other,Gen12HP,MTL,False
Other,DG2,MTL,False
Sampler,Gen12HP,Gen12HP,False
GAM,Gen12HP,Gen12HP,False
SQIDI,Gen12HP,Gen12HP,False
SQIDI,DG2,PVC,False
SQIDI,ADL,PVC,False
EU,Gen12HP,DG2,False
EU,Gen12LP,DG2,False
EU,Gen11LP,DG2,False,
EU,Gen9LPClient,DG2,False
EU,DG2,DG2,False
EU,Gen12HP,MTL,False
EU,Gen12LP,MTL,False
EU,Gen11LP,MTL,False,
EU,Gen9LPClient,MTL,False
EU,DG2,MTL,False
Foveros,PVC,PVC,False
FabricsSpine,PVC,PVC,False
Foveros,PVC,PVC2,False
Foveros,PVC2,PVC2,False
FabricsSpine,PVC,PVC2,False
FabricsSpine,PVC2,PVC2,False
