State,Source,Stepping,Weight,Type,RefGC,Comments
INSTR_BFI2_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI2_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFI2_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFI2_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFI2_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFI2_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFI2_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFI2_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFI2_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFI2_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFI2_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFI2_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFI2_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFI2_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFI2_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_BFI2_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_BFI2_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_BFI2_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_BFI2_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFI2_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_BFI2_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFI2_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_BFI2_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_BFI2_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_BFREV_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFREV_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFREV_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFREV_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFREV_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFREV_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_BFREV_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFREV_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_BFREV_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFREV_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFREV_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFREV_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFREV_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_BFREV_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_BFREV_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_BFREV_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_BFREV_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFREV_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFREV_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_BFREV_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_BFREV_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_BFREV_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_BFREV_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_BFREV_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_BFREV_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_BFREV_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_BFREV_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_BFREV_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_BFREV_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_BFREV_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_CBIT_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_CBIT_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CBIT_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CBIT_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CBIT_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_CBIT_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CBIT_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CBIT_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CBIT_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_CBIT_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CBIT_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CBIT_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CBIT_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_CBIT_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CBIT_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CBIT_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CBIT_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CBIT_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CBIT_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CBIT_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CBIT_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_CBIT_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_CBIT_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_CBIT_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_CBIT_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_CBIT_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_CBIT_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CBIT_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_CBIT_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_CBIT_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_CMP_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMP_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CMP_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMP_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CMP_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMP_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CMP_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMP_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CMP_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_CMP_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CMP_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CMP_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CMP_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_CMP_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CMP_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CMP_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CMP_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CMP_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CMP_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CMP_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CMP_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_CMP_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_CMP_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_CMP_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_CMP_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMP_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_CMP_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMP_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_CMP_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_CMP_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_CMPN_UW_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMPN_UW_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CMPN_UW_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMPN_UW_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CMPN_W_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMPN_W_EM,Gen9LPClient,A0,20.1284,syn,416823,
INSTR_CMPN_W_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMPN_W_FPU,Gen9LPClient,A0,24.1498,syn,416823,
INSTR_CMPN_UD_EM,Gen8,A0,31.084,syn,397435,
INSTR_CMPN_UD_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CMPN_UD_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CMPN_UD_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CMPN_D_EM,Gen8,A0,31.084,syn,397435,
INSTR_CMPN_D_EM,Gen9LPClient,A0,19.8035,syn,416823,
INSTR_CMPN_D_FPU,Gen8,A0,40.206,syn,397435,
INSTR_CMPN_D_FPU,Gen9LPClient,A0,23.6157,syn,416823,
INSTR_CMPN_UQ_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CMPN_UQ_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CMPN_Q_EM,Gen9LPClient,A0,26.8822,syn,416823,
INSTR_CMPN_Q_FPU,Gen9LPClient,A0,28.7346,syn,416823,
INSTR_CMPN_HF_EM,Gen8,A0,22.423,syn,397435,
INSTR_CMPN_HF_EM,Gen9LPClient,A0,38.9505,syn,416823,
INSTR_CMPN_HF_FPU,Gen8,A0,28.014,syn,397435,
INSTR_CMPN_HF_FPU,Gen9LPClient,A0,43.0566,syn,416823,
INSTR_CMPN_F_EM,Gen8,A0,23.832,syn,397435,
INSTR_CMPN_F_EM,Gen9LPClient,A0,31.0606,syn,416823,
INSTR_CMPN_F_FPU,Gen8,A0,28.519,syn,397435,
INSTR_CMPN_F_FPU,Gen9LPClient,A0,32.7057,syn,416823,
INSTR_CMPN_DF_EM,Gen9LPClient,A0,30.2404,syn,416823,
INSTR_CMPN_DF_FPU,Gen9LPClient,A0,33.3145,syn,416823,
INSTR_DP2_UW_EM,Gen8,A0,34.165,syn,397435,
INSTR_DP2_UW_EM,Gen9LPClient,A0,59.6147,syn,416823,
INSTR_DP2_UW_FPU,Gen8,A0,40.178,syn,397435,
INSTR_DP2_UW_FPU,Gen9LPClient,A0,62.7369,syn,416823,
INSTR_DP2_W_EM,Gen8,A0,34.165,syn,397435,
INSTR_DP2_W_EM,Gen9LPClient,A0,59.6147,syn,416823,
INSTR_DP2_W_FPU,Gen8,A0,40.178,syn,397435,
INSTR_DP2_W_FPU,Gen9LPClient,A0,62.7369,syn,416823,
INSTR_DP2_UD_EM,Gen8,A0,36.174,syn,397435,
