State,Source,Stepping,Weight,Type,GC,COMMENT,UNIT,CLUSTER,Annealing/TR
PS2_PSD_SCOREBOARD_READ,Gen8,B0,7.42,ebb,1.00,,PSD,ROSS,
PS2_PSD_SCOREBOARD_READ,Gen8LPSoC,B0,1.22,ebb,1.00,,PSD,ROSS,
PS2_PSD_SCOREBOARD_WRITE,Gen8,B0,8.50,ebb,1.00,,PSD,ROSS,
PS2_PSD_SCOREBOARD_WRITE,Gen8LPSoC,B0,2.21,ebb,1.00,,PSD,ROSS,
PS2_PSD_THREADDISPATCH,Gen8,A0,67.94,syn,606024.00,,PSD,ROSS,
PS2_PSD_WAITINGONFLUSH,Gen8,A0,67.94,syn,606024.00,,PSD,ROSS,
PS2_RCC_ALLOC_HITS,Gen8,A0,76.00,syn,724464.00,,RCC,COLOR,
PS2_RCC_ALLOC_MISSES,Gen8,A0,51.91,syn,724464.00,,RCC,COLOR,
PS2_RCC_CACHE_READ,Gen8,B0,12.70,ebb,1.00,,RCC,COLOR,
PS2_RCC_CACHE_READ,Gen8LPSoC,B0,27.59,ebb,1.00,,RCC,COLOR,
PS2_RCC_CACHE_WRITE,Gen8,B0,27.09,ebb,1.00,,RCC,COLOR,
PS2_RCC_CACHE_WRITE,Gen8LPSoC,B0,53.29,ebb,1.00,,RCC,COLOR,
PS2_RCPBCOM_2PPC_BLD,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_2PPC_WRT,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_4PPC_BLD,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_4PPC_WRT,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_8PPC_BLD,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_8PPC_WRT,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBCOM_RTR,Gen8,A0,101.15,syn,1059930.00,,RCPBCOM,COLOR,
PS2_RCPBE,Gen8,A0,203.45,syn,1.00,,RCPBE,COLOR,
PS2_RCPBPIX_2PPC_BLD,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPBPIX_2PPC_WRT,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPBPIX_4PPC_BLD,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPBPIX_4PPC_WRT,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPBPIX_8PPC_BLD,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPBPIX_8PPC_WRT,Gen8,A0,101.15,syn,1170000.00,,RCPBPIX,COLOR,
PS2_RCPFE,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_BLD_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_BLD_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_BLD_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_WRT_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_WRT_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_2PPC_WRT_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_BLD_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_BLD_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_BLD_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_WRT_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_WRT_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_4PPC_WRT_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_BLD_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_BLD_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_BLD_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_WRT_NOZ,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_WRT_ZFAIL,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_8PPC_WRT_ZPASS,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCPFE_COLORLATFIFO_READ,Gen8,B0,57.66,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_COLORLATFIFO_READ,Gen8LPSoC,B0,15.85,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_COLORLATFIFO_WRITE,Gen8,B0,125.34,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_COLORLATFIFO_WRITE,Gen8LPSoC,B0,30.86,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_MCSLATFIFO_READ,Gen8,B0,13.03,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_MCSLATFIFO_READ,Gen8LPSoC,B0,5.18,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_MCSLATFIFO_WRITE,Gen8,B0,16.02,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_MCSLATFIFO_WRITE,Gen8LPSoC,B0,6.23,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_RCCLATFIFO_READ,Gen8,B0,3.91,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_RCCLATFIFO_READ,Gen8LPSoC,B0,2.59,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_RCCLATFIFO_WRITE,Gen8,B0,5.11,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_RCCLATFIFO_WRITE,Gen8LPSoC,B0,3.11,ebb,1.00,,RCPFE,COLOR,
PS2_RCPFE_RTR,Gen8,A0,65.60,syn,674703.00,,RCPFE,COLOR,
PS2_RCZ,Gen8,A0,62.84,syn,1071972.00,,RCZ,Z,
PS2_RCZ_ALLOC_HITS,Gen8,A0,62.84,syn,1071972.00,,RCZ,Z,
PS2_RCZ_ALLOC_MISSES,Gen8,A0,62.84,syn,1071972.00,,RCZ,Z,
PS2_RCZ_CACHE_READ,Gen8,B0,11.28,ebb,1.00,,RCZ,Z,
PS2_RCZ_CACHE_READ,Gen8LPSoC,B0,24.24,ebb,1.00,,RCZ,Z,
PS2_RCZ_CACHE_WRITE,Gen8,B0,30.05,ebb,1.00,,RCZ,Z,
PS2_RCZ_CACHE_WRITE,Gen8LPSoC,B0,35.06,ebb,1.00,,RCZ,Z,
PS2_ROSC_DFX,Gen8,A0,0.00,syn,1.00,,DFX,ROSC,
PS2_ROSC_DOP,Gen8,B0,334.46,syn,1.00,,DOP,ROSC,from nevins idle ss
PS2_ROSC_GLUE,Gen8,A0,77.72,syn,1.00,,GLUE,ROSC,
PS2_ROSC_SMALL,Gen8,A0,198.42,syn,661698.00,,SMALL,ROSC,
PS2_ROSS_DFX,Gen8,A0,0.00,syn,1.00,,DFX,ROSS,
PS2_ROSS_DOP,Gen8,B0,69.59,syn,1.00,,DOP,ROSS,from nevins idle ss
PS2_ROSS_GLUE,Gen8,A0,54.59,syn,1.00,,GLUE,ROSS,
PS2_ROSS_SMALL,Gen8,A0,21.53,syn,215874.00,,SMALL,ROSS,
PS2_RoutingChannel ,Gen8,A0,2525.49,syn,1.00,,RoutingChannel ,Other,
PS2_RS,Gen8,A0,0.00,syn,285426.00,,RS,FF,
PS2_Sampler_GLUE,Gen8,B0,0.00,syn,1.00,,GLUE,Sampler,
PS2_SARB,Gen8,A0,23.34,syn,195102.00,,SARB,FF,
PS2_SBE,Gen8,A0,38.44,syn,1226664.00,,SBE,ROSC,
PS2_SC_Bilinear_Trilinear_Aniso,Gen8,B0,118.37,syn,391284.00,yacoub,SC,Sampler,Annealing
PS2_SC_DataRam_READ,Gen8,B0,81.91,ebb,1.00,,SC,Sampler,
PS2_SC_DataRam_READ,Gen8LPSoC,B0,39.43,ebb,1.00,,SC,Sampler,
PS2_SC_DataRam_WRITE,Gen8,B0,118.55,ebb,1.00,,SC,Sampler,
PS2_SC_DataRam_WRITE,Gen8LPSoC,B0,58.91,ebb,1.00,,SC,Sampler,
PS2_SC_Else,Gen8,B0,118.37,syn,391284.00,"missing, made equal to bilinear",SC,Sampler,Annealing
PS2_SC_FastLinear,Gen8,B0,205.14,syn,391284.00,yacoub,SC,Sampler,Annealing
PS2_SC_LatFifo_READ,Gen8,B0,22.16,ebb,1.00,,SC,Sampler,
PS2_SC_LatFifo_READ,Gen8LPSoC,B0,12.68,ebb,1.00,,SC,Sampler,
PS2_SC_LatFifo_WRITE,Gen8,B0,57.10,ebb,1.00,,SC,Sampler,
PS2_SC_LatFifo_WRITE,Gen8LPSoC,B0,26.72,ebb,1.00,,SC,Sampler,
PS2_SC_LineaFastAniso,Gen8,B0,0.00,syn,391284.00,NIB,SC,Sampler,Annealing
PS2_SC_NearestMode_128BPT,Gen8,B0,268.12,syn,391284.00,yacoub,SC,Sampler,Annealing
PS2_SC_NearestMode_32BPT,Gen8,B0,154.47,syn,391284.00,yacoub,SC,Sampler,Annealing
PS2_SC_NearestMode_64BPT,Gen8,B0,194.38,syn,391284.00,yacoub,SC,Sampler,Annealing
PS2_SC_NonLineaFastAniso,Gen8,B0,0.00,syn,391284.00,NIB,SC,Sampler,Annealing
PS2_SDE_Culled,Gen8,A0,0.00,syn,66852.00,,SDE,FF,
PS2_SDE_NotCulled,Gen8,A0,0.00,syn,66852.00,,SDE,FF,
PS2_SF_Culled,Gen8,A0,21.12,syn,1163781.00,,SF,FF,
PS2_SF_NotCulled_FastClip,Gen8,A0,96.73,syn,1163781.00,,SF,FF,
PS2_SF_NotCulled_NotFastClip,Gen8,A0,96.73,syn,1163781.00,,SF,FF,
PS2_SI_ANYPIXELMODE,Gen8,B0,52.53,syn,361368.00,yacoub,SI,Sampler,Annealing
PS2_SO_ANYPIXELMODE,Gen8,B0,42.98,syn,113004.00,,SO,Sampler,
PS2_SOL_Cache_Read,Gen8,B0,4.54,ebb,1.00,,SOL,FF,
PS2_SOL_Cache_Read,Gen8LPSoC,B0,1.54,ebb,1.00,,SOL,FF,
PS2_SOL_Cache_ReadWrite,Gen8,B0,9.16,ebb,1.00,,SOL,FF,
PS2_SOL_Cache_ReadWrite,Gen8LPSoC,B0,4.49,ebb,1.00,,SOL,FF,
PS2_SOL_Cache_Write,Gen8,B0,4.62,ebb,1.00,,SOL,FF,
PS2_SOL_Cache_Write,Gen8LPSoC,B0,2.95,ebb,1.00,,SOL,FF,
PS2_SOL_Disabled,Gen8,A0,10.68,syn,247815.00,,SOL,FF,
PS2_SOL_Enabled,Gen8,A0,42.05,syn,247815.00,,SOL,FF,
PS2_ST_1Bank_Enable,Gen8,B0,41.20,syn,371000.00,yacoub,ST,Sampler,Annealing
PS2_ST_Any_Bank_Enable,Gen8,B0,123.70,syn,371000.00,yacoub,ST,Sampler,Annealing
